household_type,kwh_per_household,kwh_per_m2,kwh_per_person,avg_max_power_demand_w
Terraced house – mid-terrace,"3,083",71,,"7,188"
Terraced house – end-terrace,"4,258",81,,"7,685"
Terraced house – small (up to 70 m²),"3,421",75,,"7,156"
Terraced house – medium/large (above 70 m²),"4,399",52,,"10,568"
Semi-detached house,"4,009",76,,"7,888"
Detached house,"4,256",66,,"7,312"
Bungalow,"3,789",59,,"8,683"
Flat,"3,510",77,,"7,625"
Single pensioner household (65+ years old),"3,427",64,"3,427","6,984"
Single non-pensioner household,"3,853",69,"3,853","7,211"
Multiple pensioner household,"3,812",70,"1,906","7,788"
Household with children,"3,672",68,966,"7,277"
Multiple person household with no dependent children,"4,232",77,"1,912","8,569"
All households,"3,567",71,"2,142","7,665"
