,importance
active_connections,0.47505125
log_num_connections,0.13878636
num_connections,0.10193651
amperage,0.06545315
type_conn_perc,0.04720888
annual_consume_lowtarif_perc,0.023340723
hightarif_perc,0.021540951
year,0.017597988
total_capacity,0.014624314
year_trend,0.012526222
perc_of_active_connections,0.011719947
city_te,0.011033385
purchase_area_te,0.008756459
net_manager_te,0.008073962
delivery_perc,0.007824924
city_lag1_mean,0.006260926
city_rolling_mean3,0.0061854636
smartmeter_connections,0.0057118796
city_lag2_mean,0.0048325458
city_vs_national,0.004528114
smartmeter_perc,0.003599267
smart_x_trend,0.0034066853
