,importance
zipcode_from_te,0.6122348
active_connections,0.16515595
amperage,0.045114577
num_connections,0.037737038
type_conn_perc,0.03143685
log_num_connections,0.018880796
annual_consume_lowtarif_perc,0.013903583
year,0.013449696
hightarif_perc,0.011874708
purchase_area_te,0.009152968
total_capacity,0.008061346
perc_of_active_connections,0.0072624465
year_trend,0.0067677516
city_te,0.0060703056
delivery_perc,0.0037187038
smartmeter_connections,0.0025444687
net_manager_te,0.0024854229
smart_x_trend,0.0024033685
smartmeter_perc,0.0017451769
